3. Kyu<br><br>suwari waza<br>gyaku hanmi katate dori<br>nikyo	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=298">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=YxSV71GUqFs&t=36">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=qbRbx-ntIC0&t=1139">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=75">Karl Ruben Sensei</a><br>
3. Kyu<br><br>suwari waza<br>gyaku hanmi katate dori<br>sankyo	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=320">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=YxSV71GUqFs&t=83">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=151">Karl Ruben Sensei</a><br>
3. Kyu<br><br>suwari waza<br>gyaku hanmi katate dori<br>irmi nage	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=344">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=YxSV71GUqFs&t=129">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=bi8t_-kLil8&t=114">Karl Ruben Sensei</a><br>
3. Kyu<br><br>suwari waza<br>kata dori<br>ikkyo	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=353">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=qbRbx-ntIC0&t=1111">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=xPXdIpq-zXc&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=bi8t_-kLil8&t=144">Karl Ruben Sensei</a><br>
3. Kyu<br><br>suwari waza<br>kata dori<br>nikyo	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=370">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=Hz2J2kM5hus&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=bi8t_-kLil8&t=204">Karl Ruben Sensei</a><br>
3. Kyu<br><br>suwari waza<br>kata dori<br>sankyo	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=391">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=bi8t_-kLil8&t=274">Karl Ruben Sensei</a><br>
3. Kyu<br><br>suwari waza<br>shomen uchi<br>nikyo	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=413">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=qbRbx-ntIC0&t=1172">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=J8MpnscyjtA&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=u8WD-0W-pP4&t=56">Karl Ruben Sensei</a><br>
3. Kyu<br><br>suwari waza<br>shomen uchi<br>sankyo	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=434">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=bRc-UjpA0Jk&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=u8WD-0W-pP4&t=113">Karl Ruben Sensei</a><br>
3. Kyu<br><br>hanmi handachi waza<br>gyaku hanmi katate dori<br>shiho nage	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=454">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=YxSV71GUqFs&t=146">Aikido Zentrum Basel</a><br><a href="https://www.youtube.com/watch/?v=qbRbx-ntIC0&t=1230">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=aPrGOf0qDac&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=LaSilceurNY&t=274">Karl Ruben Sensei</a><br>
3. Kyu<br><br>hanmi handachi waza<br>gyaku hanmi katate dori<br>uchi kaiten nage	<a href="https://www.youtube.com/watch/?v=3NGQz--VK0E&t=469">Bodo Rödel Sensei</a><br><br><a href="https://www.youtube.com/watch/?v=qbRbx-ntIC0&t=1286">Christian Tissier Sensei</a><br><a href="https://www.youtube.com/watch/?v=pOLjrSaKR2s&t=0">François Pichereau Sensei</a><br><a href="https://www.youtube.com/watch/?v=bi8t_-kLil8&t=673">Karl Ruben Sensei</a><br>
